Present State of MPS:
space_size=12	,cutoff=0.1000000000	,lr=0.100000
bond dimension:[1, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 1]	loss=1.723720e+02
cutoff	n_loop	n_descent	learning_rate
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
Present set_size:216
Present setting_number:75
